season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number
2012-13,2012-12-09,1263546,1,0,1,Florida State,Maine,Seminoles,Black Bears,4,4,0,0,0,1410,Florida State,NA,NA,NA,Starting Lineup - Michael Snaer,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2012-13,2012-12-09,1263546,1,0,1,Florida State,Maine,Seminoles,Black Bears,4,4,0,0,0,1481,Maine,NA,NA,NA,Starting Lineup - Mike Allison,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2012-13,2012-12-09,1263546,1,0,1,Florida State,Maine,Seminoles,Black Bears,4,4,0,0,0,1410,Florida State,NA,NA,NA,Starting Lineup - Okaro White,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2012-13,2012-12-09,1263546,1,0,1,Florida State,Maine,Seminoles,Black Bears,4,4,0,0,0,1481,Maine,NA,NA,NA,Starting Lineup - Alasdair Fraser,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2012-13,2012-12-09,1263546,1,0,1,Florida State,Maine,Seminoles,Black Bears,4,4,0,0,0,1410,Florida State,NA,NA,NA,Starting Lineup - Kiel Turpin,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2012-13,2012-12-09,1263546,1,0,1,Florida State,Maine,Seminoles,Black Bears,4,4,0,0,0,1410,Florida State,NA,NA,NA,Starting Lineup - Terry Whisnant II,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2012-13,2012-12-09,1263546,1,0,1,Florida State,Maine,Seminoles,Black Bears,4,4,0,0,0,1481,Maine,NA,NA,NA,Starting Lineup - Justin Edwards,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2012-13,2012-12-09,1263546,1,0,1,Florida State,Maine,Seminoles,Black Bears,4,4,0,0,0,1481,Maine,NA,NA,NA,Starting Lineup - Xavier Pollard,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2012-13,2012-12-09,1263546,1,0,1,Florida State,Maine,Seminoles,Black Bears,4,4,0,0,0,1481,Maine,NA,NA,NA,Starting Lineup - Jon Mesghna,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2012-13,2012-12-09,1263546,1,0,1,Florida State,Maine,Seminoles,Black Bears,4,4,0,0,0,1410,Florida State,NA,NA,NA,Starting Lineup - Montay Brandon,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2012-13,2012-12-09,1263546,2,0,1,Florida State,Maine,Seminoles,Black Bears,4,4,0,0,0,NA,NA,2400,1200,NA,Start of the 1st Half,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,Maine,1
2012-13,2012-12-09,1263546,6,0,1,Florida State,Maine,Seminoles,Black Bears,4,4,0,0,0,1481,Maine,2380,1180,20,Xavier Pollard misses a 3-point jump shot from 23 feet out.,missed,FALSE,TRUE,Jump Shot,10.8,23.85,613201,Xavier Pollard,NA,0,Maine,Florida State,1
2012-13,2012-12-09,1263546,10,0,1,Florida State,Maine,Seminoles,Black Bears,4,4,0,0,0,1481,Maine,2377,1177,3,Personal foul committed by Alasdair Fraser.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Florida State,Florida State,2
2012-13,2012-12-09,1263546,13,0,1,Florida State,Maine,Seminoles,Black Bears,4,4,0,0,0,1410,Florida State,2358,1158,19,Okaro White misses a 3-point jump shot from 22 feet out.,missed,FALSE,TRUE,Jump Shot,5.5,15.150000000000006,552199,Okaro White,NA,0,Florida State,Maine,2
2012-13,2012-12-09,1263546,17,0,1,Florida State,Maine,Seminoles,Black Bears,4,4,0,0,0,1410,Florida State,2345,1145,13,Shooting foul committed by Kiel Turpin.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Maine,Maine,3
2012-13,2012-12-09,1263546,18,0,1,Florida State,Maine,Seminoles,Black Bears,4,4,0,0,0,1481,Maine,2345,1145,0,Mike Allison misses free throw 1 of 2.,missed,TRUE,FALSE,NA,NA,NA,NA,NA,NA,0,Maine,Maine,3
2012-13,2012-12-09,1263546,19,0,1,Florida State,Maine,Seminoles,Black Bears,4,4,0,0,0,1481,Maine,2345,1145,0,Mike Allison misses free throw 2 of 2.,missed,TRUE,FALSE,NA,NA,NA,NA,NA,NA,0,Maine,Florida State,3
2012-13,2012-12-09,1263546,25,0,1,Florida State,Maine,Seminoles,Black Bears,4,4,3,0,3,1410,Florida State,2329,1129,16,Michael Snaer makes a 3-point jump shot from 22 feet out.,made,FALSE,TRUE,Jump Shot,42.3,19.25,513039,Michael Snaer,NA,0,Florida State,Maine,4
2012-13,2012-12-09,1263546,27,0,1,Florida State,Maine,Seminoles,Black Bears,4,3,3,0,3,1481,Maine,2320,1120,9,Black Bears take a 30-second timeout.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
2012-13,2012-12-09,1263546,30,0,1,Florida State,Maine,Seminoles,Black Bears,4,3,3,0,3,1410,Florida State,2295,1095,25,Montay Brandon misses a jump shot from 9 feet out.,missed,FALSE,FALSE,Jump Shot,20.8,13.150000000000006,696301,Montay Brandon,NA,0,Florida State,Maine,5
2012-13,2012-12-09,1263546,32,0,1,Florida State,Maine,Seminoles,Black Bears,4,3,3,0,3,1410,Florida State,2283,1083,12,Shooting foul committed by Kiel Turpin.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Maine,Maine,6
2012-13,2012-12-09,1263546,33,0,1,Florida State,Maine,Seminoles,Black Bears,4,3,3,1,2,1481,Maine,2283,1083,0,Mike Allison makes free throw 1 of 2.,made,TRUE,FALSE,NA,NA,NA,NA,NA,NA,0,Maine,Maine,6
2012-13,2012-12-09,1263546,34,0,1,Florida State,Maine,Seminoles,Black Bears,4,3,3,2,1,1481,Maine,2283,1083,0,Mike Allison makes free throw 2 of 2.,made,TRUE,FALSE,NA,NA,NA,NA,NA,NA,0,Maine,Florida State,6
2012-13,2012-12-09,1263546,37,0,1,Florida State,Maine,Seminoles,Black Bears,4,3,6,2,4,1410,Florida State,2271,1071,12,Michael Snaer makes a 3-point jump shot from 23 feet out.,made,FALSE,TRUE,Jump Shot,20,27.650000000000006,513039,Michael Snaer,NA,0,Florida State,Maine,7
2012-13,2012-12-09,1263546,39,0,1,Florida State,Maine,Seminoles,Black Bears,4,3,6,2,4,1481,Maine,2250,1050,21,Justin Edwards misses a layup.,missed,FALSE,FALSE,Layup Shot,26,6.25,613193,Justin Edwards,NA,0,Maine,Florida State,8
2012-13,2012-12-09,1263546,53,0,1,Florida State,Maine,Seminoles,Black Bears,4,3,6,2,4,1410,Florida State,2229,1029,21,Okaro White misses a layup.,missed,FALSE,FALSE,Layup Shot,25,5.25,552199,Okaro White,NA,0,Florida State,Florida State,9
2012-13,2012-12-09,1263546,63,0,1,Florida State,Maine,Seminoles,Black Bears,4,3,8,2,6,1410,Florida State,2216,1016,13,Montay Brandon makes a layup.,made,FALSE,FALSE,Layup Shot,25,5.25,696301,Montay Brandon,NA,0,Florida State,Maine,9
2012-13,2012-12-09,1263546,66,0,1,Florida State,Maine,Seminoles,Black Bears,4,3,8,2,6,1410,Florida State,2209,1009,7,Personal foul committed by Kiel Turpin.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Maine,Maine,10
2012-13,2012-12-09,1263546,78,0,1,Florida State,Maine,Seminoles,Black Bears,4,3,8,2,6,1410,Florida State,2205,1005,4,Personal foul committed by Montay Brandon.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Maine,Maine,10
2012-13,2012-12-09,1263546,96,0,1,Florida State,Maine,Seminoles,Black Bears,4,3,8,4,4,1481,Maine,2180,980,25,Mike Allison dunks.,made,FALSE,FALSE,Dunk Shot,25,5.25,522918,Mike Allison,NA,0,Maine,Florida State,10
2012-13,2012-12-09,1263546,98,0,1,Florida State,Maine,Seminoles,Black Bears,4,3,8,4,4,NA,NA,2158,958,22,Official TV timeout.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
2012-13,2012-12-09,1263546,113,0,1,Florida State,Maine,Seminoles,Black Bears,4,3,11,4,7,1410,Florida State,2143,943,15,Terry Whisnant makes a 3-point jump shot from 22 feet out.,made,FALSE,TRUE,Jump Shot,3.1000000000000014,7.150000000000006,606928,Terry Whisnant,NA,0,Florida State,Maine,11
2012-13,2012-12-09,1263546,120,0,1,Florida State,Maine,Seminoles,Black Bears,4,3,11,4,7,1481,Maine,2116,916,27,Xavier Pollard misses a layup.,missed,FALSE,FALSE,Layup Shot,26,6.25,613201,Xavier Pollard,NA,0,Maine,Florida State,12
2012-13,2012-12-09,1263546,122,0,1,Florida State,Maine,Seminoles,Black Bears,4,3,11,4,7,1410,Florida State,2098,898,18,Okaro White misses a jump shot from 12 feet out.,missed,FALSE,FALSE,Jump Shot,33.4,13.950000000000003,552199,Okaro White,NA,0,Florida State,Florida State,13
2012-13,2012-12-09,1263546,129,0,1,Florida State,Maine,Seminoles,Black Bears,4,3,11,4,7,1481,Maine,2098,898,0,Personal foul committed by Justin Edwards.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Florida State,Florida State,13
2012-13,2012-12-09,1263546,139,0,1,Florida State,Maine,Seminoles,Black Bears,4,3,11,4,7,1481,Maine,2089,889,9,Personal foul committed by Jonathan Mesghna.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Florida State,Florida State,13
2012-13,2012-12-09,1263546,153,0,1,Florida State,Maine,Seminoles,Black Bears,4,3,13,4,9,1410,Florida State,2073,873,16,Okaro White dunks.,made,FALSE,FALSE,Dunk Shot,26,6.25,552199,Okaro White,NA,0,Florida State,Maine,13
2012-13,2012-12-09,1263546,156,0,1,Florida State,Maine,Seminoles,Black Bears,4,2,13,4,9,1481,Maine,2066,866,7,Black Bears take a 30-second timeout.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
2012-13,2012-12-09,1263546,164,0,1,Florida State,Maine,Seminoles,Black Bears,4,2,13,6,7,1481,Maine,2057,857,9,Alasdair Fraser makes a layup.,made,FALSE,FALSE,Layup Shot,26,6.25,567538,Alasdair Fraser,NA,0,Maine,Florida State,14
2012-13,2012-12-09,1263546,169,0,1,Florida State,Maine,Seminoles,Black Bears,4,2,13,6,7,1410,Florida State,2048,848,9,Boris Bojanovsky misses a jump shot from 12 feet out.,missed,FALSE,FALSE,Jump Shot,34.4,12.849999999999994,696298,Boris Bojanovsky,NA,0,Florida State,Florida State,15
2012-13,2012-12-09,1263546,175,0,1,Florida State,Maine,Seminoles,Black Bears,4,2,13,6,7,1481,Maine,2043,843,5,Personal foul committed by Alasdair Fraser.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Florida State,Florida State,15
2012-13,2012-12-09,1263546,177,0,1,Florida State,Maine,Seminoles,Black Bears,4,2,13,6,7,1410,Florida State,2041,841,2,Michael Snaer misses a 3-point jump shot from 23 feet out.,missed,FALSE,TRUE,Jump Shot,6.899999999999999,20.150000000000006,513039,Michael Snaer,NA,0,Florida State,Florida State,15
2012-13,2012-12-09,1263546,186,0,1,Florida State,Maine,Seminoles,Black Bears,4,2,13,6,7,1481,Maine,2032,832,9,Shooting foul committed by Till Gloger.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Florida State,Florida State,15
2012-13,2012-12-09,1263546,187,0,1,Florida State,Maine,Seminoles,Black Bears,4,2,13,6,7,1410,Florida State,2032,832,0,Michael Snaer misses free throw 1 of 2.,missed,TRUE,FALSE,NA,NA,NA,NA,NA,NA,0,Florida State,Florida State,15
2012-13,2012-12-09,1263546,189,0,1,Florida State,Maine,Seminoles,Black Bears,4,2,14,6,8,1410,Florida State,2032,832,0,Michael Snaer makes free throw 2 of 2.,made,TRUE,FALSE,NA,NA,NA,NA,NA,NA,0,Florida State,Maine,15
2012-13,2012-12-09,1263546,193,0,1,Florida State,Maine,Seminoles,Black Bears,4,2,14,6,8,1481,Maine,2010,810,22,Justin Edwards misses a 3-point jump shot from 24 feet out.,missed,FALSE,TRUE,Jump Shot,40.6,23.05,613193,Justin Edwards,NA,0,Maine,Maine,16
2012-13,2012-12-09,1263546,194,0,1,Florida State,Maine,Seminoles,Black Bears,4,2,14,8,6,1481,Maine,2007,807,3,Mike Allison makes a jump shot from 9 feet out.,made,FALSE,FALSE,Jump Shot,18.8,11.95,522918,Mike Allison,NA,0,Maine,Florida State,16
2012-13,2012-12-09,1263546,207,0,1,Florida State,Maine,Seminoles,Black Bears,4,2,14,10,4,1481,Maine,1990,790,17,Justin Edwards makes a layup.,made,FALSE,FALSE,Layup Shot,25,5.25,613193,Justin Edwards,NA,0,Maine,Florida State,17
