season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number,sub_error,home_1,home_2,home_3,home_4,home_5,home_6,away_1,away_2,away_3,away_4,away_5
2014-15,2014-11-18,1454845,1,0,1,South Carolina,Baylor,Gamecocks,Bears,4,4,0,0,0,1611,South Carolina,NA,NA,NA,Starting Lineup - Tyrone Johnson,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tyrone Johnson,Michael Carrera,Demetrius Henry,Duane Notice,Sindarius Thornwell,Shamiek Sheppard,Royce O&apos'Neale,Rico Gathers,Kenny Chery,Johnathan Motley,Lester Medford
2014-15,2014-11-18,1454845,1,0,1,South Carolina,Baylor,Gamecocks,Bears,4,4,0,0,0,1313,Baylor,NA,NA,NA,Starting Lineup - Royce O&apos'Neale,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tyrone Johnson,Michael Carrera,Demetrius Henry,Duane Notice,Sindarius Thornwell,Shamiek Sheppard,Royce O&apos'Neale,Rico Gathers,Kenny Chery,Johnathan Motley,Lester Medford
2014-15,2014-11-18,1454845,1,0,1,South Carolina,Baylor,Gamecocks,Bears,4,4,0,0,0,1313,Baylor,NA,NA,NA,Starting Lineup - Rico Gathers,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tyrone Johnson,Michael Carrera,Demetrius Henry,Duane Notice,Sindarius Thornwell,Shamiek Sheppard,Royce O&apos'Neale,Rico Gathers,Kenny Chery,Johnathan Motley,Lester Medford
2014-15,2014-11-18,1454845,1,0,1,South Carolina,Baylor,Gamecocks,Bears,4,4,0,0,0,1611,South Carolina,NA,NA,NA,Starting Lineup - Michael Carrera,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tyrone Johnson,Michael Carrera,Demetrius Henry,Duane Notice,Sindarius Thornwell,Shamiek Sheppard,Royce O&apos'Neale,Rico Gathers,Kenny Chery,Johnathan Motley,Lester Medford
2014-15,2014-11-18,1454845,1,0,1,South Carolina,Baylor,Gamecocks,Bears,4,4,0,0,0,1611,South Carolina,NA,NA,NA,Starting Lineup - Demetrius Henry,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tyrone Johnson,Michael Carrera,Demetrius Henry,Duane Notice,Sindarius Thornwell,Shamiek Sheppard,Royce O&apos'Neale,Rico Gathers,Kenny Chery,Johnathan Motley,Lester Medford
2014-15,2014-11-18,1454845,1,0,1,South Carolina,Baylor,Gamecocks,Bears,4,4,0,0,0,1611,South Carolina,NA,NA,NA,Starting Lineup - Duane Notice,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tyrone Johnson,Michael Carrera,Demetrius Henry,Duane Notice,Sindarius Thornwell,Shamiek Sheppard,Royce O&apos'Neale,Rico Gathers,Kenny Chery,Johnathan Motley,Lester Medford
2014-15,2014-11-18,1454845,1,0,1,South Carolina,Baylor,Gamecocks,Bears,4,4,0,0,0,1611,South Carolina,NA,NA,NA,Starting Lineup - Sindarius Thornwell,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tyrone Johnson,Michael Carrera,Demetrius Henry,Duane Notice,Sindarius Thornwell,Shamiek Sheppard,Royce O&apos'Neale,Rico Gathers,Kenny Chery,Johnathan Motley,Lester Medford
2014-15,2014-11-18,1454845,1,0,1,South Carolina,Baylor,Gamecocks,Bears,4,4,0,0,0,1611,South Carolina,NA,NA,NA,Starting Lineup - Shamiek Sheppard,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tyrone Johnson,Michael Carrera,Demetrius Henry,Duane Notice,Sindarius Thornwell,Shamiek Sheppard,Royce O&apos'Neale,Rico Gathers,Kenny Chery,Johnathan Motley,Lester Medford
2014-15,2014-11-18,1454845,1,0,1,South Carolina,Baylor,Gamecocks,Bears,4,4,0,0,0,1313,Baylor,NA,NA,NA,Starting Lineup - Kenny Chery,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tyrone Johnson,Michael Carrera,Demetrius Henry,Duane Notice,Sindarius Thornwell,Shamiek Sheppard,Royce O&apos'Neale,Rico Gathers,Kenny Chery,Johnathan Motley,Lester Medford
2014-15,2014-11-18,1454845,1,0,1,South Carolina,Baylor,Gamecocks,Bears,4,4,0,0,0,1313,Baylor,NA,NA,NA,Starting Lineup - Johnathan Motley,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Tyrone Johnson,Michael Carrera,Demetrius Henry,Duane Notice,Sindarius Thornwell,Shamiek Sheppard,Royce O&apos'Neale,Rico Gathers,Kenny Chery,Johnathan Motley,Lester Medford
