season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number,sub_error,home_1,home_2,home_3,home_4,home_5,away_1,away_2,away_3,away_4
2015-16,2016-02-26,1591405,1,0,1,Oakland,Detroit,Golden Grizzlies,Titans,4,4,0,0,0,1555,Oakland,NA,NA,NA,Starting Lineup - Percy Gibson,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Percy Gibson,Max Hooper,Sherron Dorsey-Walker,Jalen Hayes,Kahlil Felder,Carlton Brundidge,Chris Jenkins,Paris Bass,Jaleel Hogan
2015-16,2016-02-26,1591405,1,0,1,Oakland,Detroit,Golden Grizzlies,Titans,4,4,0,0,0,1384,Detroit,NA,NA,NA,Starting Lineup - Carlton Brundidge,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Percy Gibson,Max Hooper,Sherron Dorsey-Walker,Jalen Hayes,Kahlil Felder,Carlton Brundidge,Chris Jenkins,Paris Bass,Jaleel Hogan
2015-16,2016-02-26,1591405,1,0,1,Oakland,Detroit,Golden Grizzlies,Titans,4,4,0,0,0,1555,Oakland,NA,NA,NA,Starting Lineup - Max Hooper,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Percy Gibson,Max Hooper,Sherron Dorsey-Walker,Jalen Hayes,Kahlil Felder,Carlton Brundidge,Chris Jenkins,Paris Bass,Jaleel Hogan
2015-16,2016-02-26,1591405,1,0,1,Oakland,Detroit,Golden Grizzlies,Titans,4,4,0,0,0,1555,Oakland,NA,NA,NA,Starting Lineup - Sherron Dorsey-Walker,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Percy Gibson,Max Hooper,Sherron Dorsey-Walker,Jalen Hayes,Kahlil Felder,Carlton Brundidge,Chris Jenkins,Paris Bass,Jaleel Hogan
2015-16,2016-02-26,1591405,1,0,1,Oakland,Detroit,Golden Grizzlies,Titans,4,4,0,0,0,1384,Detroit,NA,NA,NA,Starting Lineup - Chris Jenkins,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Percy Gibson,Max Hooper,Sherron Dorsey-Walker,Jalen Hayes,Kahlil Felder,Carlton Brundidge,Chris Jenkins,Paris Bass,Jaleel Hogan
2015-16,2016-02-26,1591405,1,0,1,Oakland,Detroit,Golden Grizzlies,Titans,4,4,0,0,0,1384,Detroit,NA,NA,NA,Starting Lineup - Paris Bass,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Percy Gibson,Max Hooper,Sherron Dorsey-Walker,Jalen Hayes,Kahlil Felder,Carlton Brundidge,Chris Jenkins,Paris Bass,Jaleel Hogan
2015-16,2016-02-26,1591405,1,0,1,Oakland,Detroit,Golden Grizzlies,Titans,4,4,0,0,0,1555,Oakland,NA,NA,NA,Starting Lineup - Jalen Hayes,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Percy Gibson,Max Hooper,Sherron Dorsey-Walker,Jalen Hayes,Kahlil Felder,Carlton Brundidge,Chris Jenkins,Paris Bass,Jaleel Hogan
2015-16,2016-02-26,1591405,1,0,1,Oakland,Detroit,Golden Grizzlies,Titans,4,4,0,0,0,1555,Oakland,NA,NA,NA,Starting Lineup - Kahlil Felder,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Percy Gibson,Max Hooper,Sherron Dorsey-Walker,Jalen Hayes,Kahlil Felder,Carlton Brundidge,Chris Jenkins,Paris Bass,Jaleel Hogan
2015-16,2016-02-26,1591405,1,0,1,Oakland,Detroit,Golden Grizzlies,Titans,4,4,0,0,0,1384,Detroit,NA,NA,NA,Starting Lineup - Jaleel Hogan,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Percy Gibson,Max Hooper,Sherron Dorsey-Walker,Jalen Hayes,Kahlil Felder,Carlton Brundidge,Chris Jenkins,Paris Bass,Jaleel Hogan
2015-16,2016-02-26,1591405,2,0,1,Oakland,Detroit,Golden Grizzlies,Titans,4,4,0,0,0,NA,NA,2400,1200,NA,Start of the 1st Half,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,Oakland,1,NA,Percy Gibson,Max Hooper,Sherron Dorsey-Walker,Jalen Hayes,Kahlil Felder,Carlton Brundidge,Chris Jenkins,Paris Bass,Jaleel Hogan
