season,date,game_id,play_id,neutral,half,home,away,home_name,away_name,home_timeouts,away_timeouts,home_score,away_score,score_diff,team_id,event_team,game_secs_remaining,half_secs_remaining,play_length,desc,shot_outcome,free_throw,three_pt,shot_desc,loc_x,loc_y,shooter_id,shooter,assist,substitution,poss_before,poss_after,poss_number,sub_error,home_1,home_2,home_3,home_4,home_5,away_1,away_2,away_3,away_4,away_5
2021-22,2021-11-16,2387792,1,0,1,Oregon,BYU,Ducks,Cougars,4,4,0,0,0,1325,BYU,NA,NA,NA,Starting Lineup - Te'Jon Lucas,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Jacob Young,Eric Williams Jr.,Will Richardson,De'Vion Harmon,Quincy Guerrier,Te'Jon Lucas,Alex Barcello,Gavin Baxter,Gideon George,Caleb Lohner
2021-22,2021-11-16,2387792,1,0,1,Oregon,BYU,Ducks,Cougars,4,4,0,0,0,1562,Oregon,NA,NA,NA,Starting Lineup - Jacob Young,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Jacob Young,Eric Williams Jr.,Will Richardson,De'Vion Harmon,Quincy Guerrier,Te'Jon Lucas,Alex Barcello,Gavin Baxter,Gideon George,Caleb Lohner
2021-22,2021-11-16,2387792,1,0,1,Oregon,BYU,Ducks,Cougars,4,4,0,0,0,1325,BYU,NA,NA,NA,Starting Lineup - Alex Barcello,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Jacob Young,Eric Williams Jr.,Will Richardson,De'Vion Harmon,Quincy Guerrier,Te'Jon Lucas,Alex Barcello,Gavin Baxter,Gideon George,Caleb Lohner
2021-22,2021-11-16,2387792,1,0,1,Oregon,BYU,Ducks,Cougars,4,4,0,0,0,1562,Oregon,NA,NA,NA,Starting Lineup - Eric Williams Jr.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Jacob Young,Eric Williams Jr.,Will Richardson,De'Vion Harmon,Quincy Guerrier,Te'Jon Lucas,Alex Barcello,Gavin Baxter,Gideon George,Caleb Lohner
2021-22,2021-11-16,2387792,1,0,1,Oregon,BYU,Ducks,Cougars,4,4,0,0,0,1562,Oregon,NA,NA,NA,Starting Lineup - Will Richardson,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Jacob Young,Eric Williams Jr.,Will Richardson,De'Vion Harmon,Quincy Guerrier,Te'Jon Lucas,Alex Barcello,Gavin Baxter,Gideon George,Caleb Lohner
2021-22,2021-11-16,2387792,1,0,1,Oregon,BYU,Ducks,Cougars,4,4,0,0,0,1325,BYU,NA,NA,NA,Starting Lineup - Gavin Baxter,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Jacob Young,Eric Williams Jr.,Will Richardson,De'Vion Harmon,Quincy Guerrier,Te'Jon Lucas,Alex Barcello,Gavin Baxter,Gideon George,Caleb Lohner
2021-22,2021-11-16,2387792,1,0,1,Oregon,BYU,Ducks,Cougars,4,4,0,0,0,1562,Oregon,NA,NA,NA,Starting Lineup - De'Vion Harmon,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Jacob Young,Eric Williams Jr.,Will Richardson,De'Vion Harmon,Quincy Guerrier,Te'Jon Lucas,Alex Barcello,Gavin Baxter,Gideon George,Caleb Lohner
2021-22,2021-11-16,2387792,1,0,1,Oregon,BYU,Ducks,Cougars,4,4,0,0,0,1562,Oregon,NA,NA,NA,Starting Lineup - Quincy Guerrier,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Jacob Young,Eric Williams Jr.,Will Richardson,De'Vion Harmon,Quincy Guerrier,Te'Jon Lucas,Alex Barcello,Gavin Baxter,Gideon George,Caleb Lohner
2021-22,2021-11-16,2387792,1,0,1,Oregon,BYU,Ducks,Cougars,4,4,0,0,0,1325,BYU,NA,NA,NA,Starting Lineup - Gideon George,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Jacob Young,Eric Williams Jr.,Will Richardson,De'Vion Harmon,Quincy Guerrier,Te'Jon Lucas,Alex Barcello,Gavin Baxter,Gideon George,Caleb Lohner
2021-22,2021-11-16,2387792,1,0,1,Oregon,BYU,Ducks,Cougars,4,4,0,0,0,1325,BYU,NA,NA,NA,Starting Lineup - Caleb Lohner,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Jacob Young,Eric Williams Jr.,Will Richardson,De'Vion Harmon,Quincy Guerrier,Te'Jon Lucas,Alex Barcello,Gavin Baxter,Gideon George,Caleb Lohner
2021-22,2021-11-16,2387792,2,0,1,Oregon,BYU,Ducks,Cougars,4,4,0,0,0,NA,NA,2400,1200,NA,Start of the 1st Half,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,BYU,1,NA,Jacob Young,Eric Williams Jr.,Will Richardson,De'Vion Harmon,Quincy Guerrier,Te'Jon Lucas,Alex Barcello,Gavin Baxter,Gideon George,Caleb Lohner
2021-22,2021-11-16,2387792,18,0,1,Oregon,BYU,Ducks,Cougars,4,4,0,0,0,1325,BYU,2383,1183,17,Gideon George misses a 3-point jump shot from 24 feet out.,missed,FALSE,TRUE,Jump Shot,31.9,28.65,1231426,Gideon George,NA,0,BYU,BYU,1,NA,Jacob Young,Eric Williams Jr.,Will Richardson,De'Vion Harmon,Quincy Guerrier,Te'Jon Lucas,Alex Barcello,Gavin Baxter,Gideon George,Caleb Lohner
2021-22,2021-11-16,2387792,19,0,1,Oregon,BYU,Ducks,Cougars,4,4,0,0,0,1562,Oregon,2383,1183,0,Jacob Young with a defensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,BYU,Oregon,1,NA,Jacob Young,Eric Williams Jr.,Will Richardson,De'Vion Harmon,Quincy Guerrier,Te'Jon Lucas,Alex Barcello,Gavin Baxter,Gideon George,Caleb Lohner
2021-22,2021-11-16,2387792,34,0,1,Oregon,BYU,Ducks,Cougars,4,4,0,0,0,1562,Oregon,2358,1158,25,Eric Williams Jr. misses a layup.,missed,FALSE,FALSE,Layup Shot,25,5.25,1061775,Eric Williams Jr.,NA,0,Oregon,Oregon,2,NA,Jacob Young,Eric Williams Jr.,Will Richardson,De'Vion Harmon,Quincy Guerrier,Te'Jon Lucas,Alex Barcello,Gavin Baxter,Gideon George,Caleb Lohner
2021-22,2021-11-16,2387792,35,0,1,Oregon,BYU,Ducks,Cougars,4,4,0,0,0,1562,Oregon,2358,1158,0,Eric Williams Jr. with an offensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Oregon,Oregon,2,NA,Jacob Young,Eric Williams Jr.,Will Richardson,De'Vion Harmon,Quincy Guerrier,Te'Jon Lucas,Alex Barcello,Gavin Baxter,Gideon George,Caleb Lohner
2021-22,2021-11-16,2387792,40,0,1,Oregon,BYU,Ducks,Cougars,4,4,0,0,0,1562,Oregon,2350,1150,8,Ducks with a turnover: Shot Clock Turnover,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Oregon,BYU,2,NA,Jacob Young,Eric Williams Jr.,Will Richardson,De'Vion Harmon,Quincy Guerrier,Te'Jon Lucas,Alex Barcello,Gavin Baxter,Gideon George,Caleb Lohner
2021-22,2021-11-16,2387792,45,0,1,Oregon,BYU,Ducks,Cougars,4,4,0,0,0,1325,BYU,2320,1120,30,Cougars with a turnover: Shot Clock Turnover,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,BYU,Oregon,3,NA,Jacob Young,Eric Williams Jr.,Will Richardson,De'Vion Harmon,Quincy Guerrier,Te'Jon Lucas,Alex Barcello,Gavin Baxter,Gideon George,Caleb Lohner
2021-22,2021-11-16,2387792,47,0,1,Oregon,BYU,Ducks,Cougars,4,4,0,0,0,1562,Oregon,2299,1099,21,Jacob Young misses a layup.,missed,FALSE,FALSE,Layup Shot,25,5.25,956543,Jacob Young,NA,0,Oregon,Oregon,4,NA,Jacob Young,Eric Williams Jr.,Will Richardson,De'Vion Harmon,Quincy Guerrier,Te'Jon Lucas,Alex Barcello,Gavin Baxter,Gideon George,Caleb Lohner
2021-22,2021-11-16,2387792,48,0,1,Oregon,BYU,Ducks,Cougars,4,4,0,0,0,1325,BYU,2299,1099,0,Alex Barcello with a defensive rebound.,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,Oregon,BYU,4,NA,Jacob Young,Eric Williams Jr.,Will Richardson,De'Vion Harmon,Quincy Guerrier,Te'Jon Lucas,Alex Barcello,Gavin Baxter,Gideon George,Caleb Lohner
2021-22,2021-11-16,2387792,49,0,1,Oregon,BYU,Ducks,Cougars,4,4,0,2,-2,1325,BYU,2291,1091,8,Alex Barcello makes a jump shot from 16 feet out.,made,FALSE,FALSE,Jump Shot,21.5,20.45,1061509,Alex Barcello,NA,0,BYU,Oregon,5,NA,Jacob Young,Eric Williams Jr.,Will Richardson,De'Vion Harmon,Quincy Guerrier,Te'Jon Lucas,Alex Barcello,Gavin Baxter,Gideon George,Caleb Lohner
2021-22,2021-11-16,2387792,52,0,1,Oregon,BYU,Ducks,Cougars,4,4,0,2,-2,1562,Oregon,2279,1079,12,Gavin Baxter blocks a Will Richardson layup.,missed,FALSE,FALSE,Layup Shot,26,6.25,1134729,Will Richardson,NA,0,Oregon,Oregon,6,NA,Jacob Young,Eric Williams Jr.,Will Richardson,De'Vion Harmon,Quincy Guerrier,Te'Jon Lucas,Alex Barcello,Gavin Baxter,Gideon George,Caleb Lohner
